,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
66,Letter Recognition,1.6789657633816975,KMeans,0.44545455,6,KMeans,0.05384615,0.93619909
67,Pen-Based Recognition of Handwritten Text,2.8367723820823745,KMeans,0.88648649,7,KMeans,0.05384615,0.93619909
68,Object Images,3.6197344522112633,Gaussian,0.06772229,8,KMeans,0.05384615,0.93619909
69,,,,,,,,
70,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
71,Letter Recognition,1.2509240279547773,KMeans,0.44545455,1,KMeans,0.88648649,1.0
72,Thyroid Disease,1.9176467347115858,KMeans,0.22317597,2,KMeans,0.88648649,1.0
73,Breast Cancer Diagnostic,2.2147074701678786,KMeans,0.83333333,3,KMeans,0.88648649,1.0
74,Landsat Satellite,2.701094340334599,Linear,0.71794872,4,KMeans,0.88648649,1.0
75,Speech Accent Data,2.8367723820823745,Linear,0.11764706,5,KMeans,0.88648649,1.0
76,KDD-Cup99 HTTP,3.350209110451993,RPCA,0.93849658,6,KMeans,0.88648649,1.0
77,Pen-Based Recognition of Handwritten Text (Local),3.5903724943268207,KMeans,0.52631579,7,KMeans,0.88648649,1.0
78,Object Images,5.008732410047527,Gaussian,0.06772229,8,KMeans,0.88648649,1.0
79,,,,,,,,
80,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
81,Breast Cancer Diagnostic,0.500012037037114,KMeans,0.83333333,1,KMeans,0.65517241,0.93722369
82,KDD-Cup99 HTTP,0.7008360294988496,RPCA,0.93849658,2,KMeans,0.65517241,0.93722369
83,Thyroid Disease,0.8076451407514803,KMeans,0.22317597,3,KMeans,0.65517241,0.93722369
84,Speech Accent Data,1.0149957993819518,Linear,0.11764706,4,KMeans,0.65517241,0.93722369
85,Pen-Based Recognition of Handwritten Text (Local),1.3676048615900396,KMeans,0.52631579,5,KMeans,0.65517241,0.93722369
86,Letter Recognition,1.6622944674997469,KMeans,0.44545455,6,KMeans,0.65517241,0.93722369
87,Pen-Based Recognition of Handwritten Text,2.701094340334599,KMeans,0.88648649,7,KMeans,0.65517241,0.93722369
88,Object Images,4.570454859345466,Gaussian,0.06772229,8,KMeans,0.65517241,0.93722369
89,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.4444444444444444,0.92868647
0,,,,,2.0,,0.4444444444444444,0.8677590677777777
0,,,,,3.0,,0.4444444444444444,0.9278730366666667
0,,,,,4.0,,0.3333333333333333,0.8453419144444445
0,,,,,5.0,,0.5555555555555556,0.9234550233333333
0,,,,,6.0,,0.5555555555555556,0.9234550233333333
0,,,,,7.0,,0.5555555555555556,0.9234550233333333
0,,,,,8.0,,0.5555555555555556,0.9234550233333333
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
