,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
62,Pen-Based Recognition of Handwritten Text,151223595.805398,KMeans,0.88648649,2,KMeans,0.83333333,1.0,0.5
63,Thyroid Disease,152712037.68676928,KMeans,0.22317597,3,KMeans,0.83333333,1.0,0.5
64,Object Images,163052852.28261572,Gaussian,0.06772229,4,KMeans,0.83333333,1.0,0.5
65,Statlog Shuttle,175518779.89522192,KMeans,0.96766744,5,KMeans,0.83333333,1.0,0.5
66,Speech Accent Data,177423350.9989634,Linear,0.11764706,6,KMeans,0.83333333,1.0,0.5
67,Landsat Satellite,178428101.510791,Linear,0.71794872,7,KMeans,0.83333333,1.0,0.5
68,ec2_cpu_utilization_c6585a.csv,179853462.68570632,Linear,0.0,8,KMeans,0.83333333,1.0,0.5
69,cpu_utilization_asg_misconfiguration.csv,179890060.8898124,KMeans,0.00775194,9,KMeans,0.83333333,1.0,0.5
70,machine_temperature_system_failure.csv,179911337.89239338,Linear,0.4,10,KMeans,0.83333333,1.0,0.5
71,,,,,,,,,
72,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
73,Pen-Based Recognition of Handwritten Text,43600951546.807724,KMeans,0.88648649,1,KMeans,0.83333333,1.0,0.6000000000000001
74,Letter Recognition,122317270293.63965,KMeans,0.44545455,2,KMeans,0.83333333,1.0,0.6000000000000001
75,Thyroid Disease,145261448493.7748,KMeans,0.22317597,3,KMeans,0.83333333,1.0,0.6000000000000001
76,Object Images,148466073870.97147,Gaussian,0.06772229,4,KMeans,0.83333333,1.0,0.6000000000000001
77,Statlog Shuttle,152682924560.5041,KMeans,0.96766744,5,KMeans,0.83333333,1.0,0.6000000000000001
78,Speech Accent Data,153298839969.7253,Linear,0.11764706,6,KMeans,0.83333333,1.0,0.6000000000000001
79,Landsat Satellite,153642208294.6964,Linear,0.71794872,7,KMeans,0.83333333,1.0,0.6000000000000001
80,ec2_cpu_utilization_c6585a.csv,154121961060.57178,Linear,0.0,8,KMeans,0.83333333,1.0,0.6000000000000001
81,cpu_utilization_asg_misconfiguration.csv,154134100775.04446,KMeans,0.00775194,9,KMeans,0.83333333,1.0,0.6000000000000001
82,Twitter_volume_IBM.csv,154135597442.77625,Linear,0.5,10,KMeans,0.83333333,1.0,0.6000000000000001
83,,,,,,,,,
84,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
85,Pen-Based Recognition of Handwritten Text,251436015.15746805,KMeans,0.88648649,1,KMeans,0.83333333,1.0,0.7000000000000001
86,Letter Recognition,310434503.9785188,KMeans,0.44545455,2,KMeans,0.83333333,1.0,0.7000000000000001
87,Thyroid Disease,327788471.4926495,KMeans,0.22317597,3,KMeans,0.83333333,1.0,0.7000000000000001
88,Object Images,330105662.60216385,Gaussian,0.06772229,4,KMeans,0.83333333,1.0,0.7000000000000001
89,Statlog Shuttle,333219144.3130473,KMeans,0.96766744,5,KMeans,0.83333333,1.0,0.7000000000000001
90,Speech Accent Data,333674282.8385396,Linear,0.11764706,6,KMeans,0.83333333,1.0,0.7000000000000001
91,Landsat Satellite,333948866.0866182,Linear,0.71794872,7,KMeans,0.83333333,1.0,0.7000000000000001
92,ec2_cpu_utilization_c6585a.csv,334276610.8815265,Linear,0.0,8,KMeans,0.83333333,1.0,0.7000000000000001
93,cpu_utilization_asg_misconfiguration.csv,334285696.6410703,KMeans,0.00775194,9,KMeans,0.83333333,1.0,0.7000000000000001
94,machine_temperature_system_failure.csv,334290977.99867254,Linear,0.4,10,KMeans,0.83333333,1.0,0.7000000000000001
95,,,,,,,,,
96,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
97,Pen-Based Recognition of Handwritten Text,2695241874.901412,KMeans,0.88648649,1,KMeans,0.83333333,1.0,0.8
98,Letter Recognition,2854237053.5098295,KMeans,0.44545455,2,KMeans,0.83333333,1.0,0.8
99,Thyroid Disease,2900500280.6340823,KMeans,0.22317597,3,KMeans,0.83333333,1.0,0.8
100,Object Images,2907184596.415825,Gaussian,0.06772229,4,KMeans,0.83333333,1.0,0.8
101,Statlog Shuttle,2915657729.2115526,KMeans,0.96766744,5,KMeans,0.83333333,1.0,0.8
102,Speech Accent Data,2916914794.2031217,Linear,0.11764706,6,KMeans,0.83333333,1.0,0.8
103,Landsat Satellite,2917590404.075714,Linear,0.71794872,7,KMeans,0.83333333,1.0,0.8
104,ec2_cpu_utilization_c6585a.csv,2918587437.420883,Linear,0.0,8,KMeans,0.83333333,1.0,0.8
105,cpu_utilization_asg_misconfiguration.csv,2918612070.1173744,KMeans,0.00775194,9,KMeans,0.83333333,1.0,0.8
106,Twitter_volume_IBM.csv,2918622766.690099,Linear,0.5,10,KMeans,0.83333333,1.0,0.8
107,,,,,,,,,
108,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
109,Pen-Based Recognition of Handwritten Text,80215043146.67908,KMeans,0.88648649,1,KMeans,0.83333333,1.0,0.9
