,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
81,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1,
82,Letter Recognition,0.0,KMeans,0.44545455,1,KMeans,0.52631579,1.0,0.5
83,,,,,,,,,
84,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1,
85,Letter Recognition,0.0,KMeans,0.44545455,1,KMeans,0.52631579,1.0,0.6000000000000001
86,,,,,,,,,
87,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1,
88,Letter Recognition,0.0,KMeans,0.44545455,1,KMeans,0.52631579,1.0,0.7000000000000001
89,,,,,,,,,
90,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1,
91,Letter Recognition,0.0,KMeans,0.44545455,1,KMeans,0.52631579,1.0,0.8
92,,,,,,,,,
93,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1,
94,Letter Recognition,0.0,KMeans,0.44545455,1,KMeans,0.52631579,1.0,0.9
95,,,,,,,,,
96,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1,
97,Letter Recognition,0.0,KMeans,0.44545455,1,KMeans,0.52631579,1.0,1.0
98,,,,,,,,,
99,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1,
100,Thyroid Disease,0.0,KMeans,0.22317597,1,KMeans,0.44545455,1.0,0.0
101,,,,,,,,,
102,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1,
103,Thyroid Disease,0.0,KMeans,0.22317597,1,KMeans,0.44545455,1.0,0.1
104,,,,,,,,,
105,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1,
106,Thyroid Disease,0.0,KMeans,0.22317597,1,KMeans,0.44545455,1.0,0.2
107,,,,,,,,,
108,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1,
109,Thyroid Disease,0.0,KMeans,0.22317597,1,KMeans,0.44545455,1.0,0.30000000000000004
110,,,,,,,,,
111,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1,
112,Thyroid Disease,0.0,KMeans,0.22317597,1,KMeans,0.44545455,1.0,0.4
113,,,,,,,,,
114,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1,
115,Thyroid Disease,0.0,KMeans,0.22317597,1,KMeans,0.44545455,1.0,0.5
116,,,,,,,,,
117,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1,
118,Thyroid Disease,0.0,KMeans,0.22317597,1,KMeans,0.44545455,1.0,0.6000000000000001
119,,,,,,,,,
120,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1,
121,Thyroid Disease,0.0,KMeans,0.22317597,1,KMeans,0.44545455,1.0,0.7000000000000001
122,,,,,,,,,
123,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1,
124,Thyroid Disease,0.0,KMeans,0.22317597,1,KMeans,0.44545455,1.0,0.8
125,,,,,,,,,
126,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1,
127,Thyroid Disease,0.0,KMeans,0.22317597,1,KMeans,0.44545455,1.0,0.9
128,,,,,,,,,
129,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1,
130,Thyroid Disease,0.0,KMeans,0.22317597,1,KMeans,0.44545455,1.0,1.0
131,,,,,,,,,
132,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
133,Statlog Shuttle,0.0,KMeans,0.96766744,1,KMeans,0.22317597,1.0,0.0
134,,,,,,,,,
135,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
136,Statlog Shuttle,0.0,KMeans,0.96766744,1,KMeans,0.22317597,1.0,0.1
137,,,,,,,,,
138,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
139,Statlog Shuttle,0.0,KMeans,0.96766744,1,KMeans,0.22317597,1.0,0.2
140,,,,,,,,,
