,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
87,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1,
88,exchange-3_cpm_results.csv,0.0,Linear,1.0,1,Linear,0.14285714,0.34285714,0.7000000000000001
89,,,,,,,,,
90,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1,
91,exchange-3_cpm_results.csv,0.0,Linear,1.0,1,Linear,0.14285714,0.34285714,0.8
92,,,,,,,,,
93,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1,
94,exchange-3_cpm_results.csv,0.0,Linear,1.0,1,Linear,0.14285714,0.34285714,0.9
95,,,,,,,,,
96,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1,
97,exchange-3_cpm_results.csv,0.0,Linear,1.0,1,Linear,0.14285714,0.34285714,1.0
98,,,,,,,,,
99,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
100,machine_temperature_system_failure.csv,0.0,Linear,0.4,1,Linear,1.0,1.0,0.0
101,,,,,,,,,
102,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
103,machine_temperature_system_failure.csv,0.0,Linear,0.4,1,Linear,1.0,1.0,0.1
104,,,,,,,,,
105,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
106,machine_temperature_system_failure.csv,0.0,Linear,0.4,1,Linear,1.0,1.0,0.2
107,,,,,,,,,
108,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
109,machine_temperature_system_failure.csv,0.0,Linear,0.4,1,Linear,1.0,1.0,0.30000000000000004
110,,,,,,,,,
111,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
112,machine_temperature_system_failure.csv,0.0,Linear,0.4,1,Linear,1.0,1.0,0.4
113,,,,,,,,,
114,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
115,machine_temperature_system_failure.csv,0.0,Linear,0.4,1,Linear,1.0,1.0,0.5
116,,,,,,,,,
117,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
118,machine_temperature_system_failure.csv,0.0,Linear,0.4,1,Linear,1.0,1.0,0.6000000000000001
119,,,,,,,,,
120,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
121,machine_temperature_system_failure.csv,0.0,Linear,0.4,1,Linear,1.0,1.0,0.7000000000000001
122,,,,,,,,,
123,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
124,machine_temperature_system_failure.csv,0.0,Linear,0.4,1,Linear,1.0,1.0,0.8
125,,,,,,,,,
126,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
127,machine_temperature_system_failure.csv,0.0,Linear,0.4,1,Linear,1.0,1.0,0.9
128,,,,,,,,,
129,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
130,machine_temperature_system_failure.csv,0.0,Linear,0.4,1,Linear,1.0,1.0,1.0
131,,,,,,,,,
132,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1,
133,ec2_request_latency_system_failure.csv,0.0,KMeans,0.66666667,1,KMeans,0.4,1.0,0.0
134,,,,,,,,,
135,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1,
