,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
72,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
73,speed_6005.csv,898547041.5557764,Linear,0.66666667,1,Linear,0.4,0.65,0.8
74,occupancy_6005.csv,898957992.0691559,Linear,1.0,2,Linear,0.4,0.65,0.8
75,TravelTime_451.csv,899821049.2702843,KMeans,0.4,3,Linear,0.4,0.65,0.8
76,nyc_taxi.csv,900268673.6024088,Linear,0.25,4,Linear,0.4,0.65,0.8
77,occupancy_t4013.csv,906696779.0546275,Linear,1.0,5,Linear,0.4,0.65,0.8
78,speed_t4013.csv,906729378.0046229,Linear,1.0,6,Linear,0.4,0.65,0.8
79,TravelTime_387.csv,907298076.8744648,KMeans,0.66666667,7,Linear,0.4,0.65,0.8
80,,,,,,,,,
81,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
82,speed_6005.csv,1718512108.598351,Linear,0.66666667,1,Linear,0.4,0.65,0.9
83,occupancy_6005.csv,1718923059.1117306,Linear,1.0,2,Linear,0.4,0.65,0.9
84,TravelTime_451.csv,1719786116.3128588,KMeans,0.4,3,Linear,0.4,0.65,0.9
85,nyc_taxi.csv,1720233740.6449833,Linear,0.25,4,Linear,0.4,0.65,0.9
86,occupancy_t4013.csv,1726661846.097202,Linear,1.0,5,Linear,0.4,0.65,0.9
87,speed_t4013.csv,1726694445.0471976,Linear,1.0,6,Linear,0.4,0.65,0.9
88,TravelTime_387.csv,1727263143.9170392,KMeans,0.66666667,7,Linear,0.4,0.65,0.9
89,,,,,,,,,
90,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
91,speed_6005.csv,3449549472.354897,Linear,0.66666667,1,Linear,0.4,0.65,1.0
92,occupancy_6005.csv,3449960422.8682766,Linear,1.0,2,Linear,0.4,0.65,1.0
93,TravelTime_451.csv,3450823480.069405,KMeans,0.4,3,Linear,0.4,0.65,1.0
94,nyc_taxi.csv,3451271104.4015293,Linear,0.25,4,Linear,0.4,0.65,1.0
95,occupancy_t4013.csv,3457699209.8537483,Linear,1.0,5,Linear,0.4,0.65,1.0
96,speed_t4013.csv,3457731808.803744,Linear,1.0,6,Linear,0.4,0.65,1.0
97,TravelTime_387.csv,3458300507.6735854,KMeans,0.66666667,7,Linear,0.4,0.65,1.0
98,,,,,,,,,
99,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1,
100,speed_6005.csv,3449549472.354897,Linear,0.66666667,1,Linear,0.5,0.83333333,0.0
101,occupancy_6005.csv,3449960422.8682766,Linear,1.0,2,Linear,0.5,0.83333333,0.0
102,TravelTime_451.csv,3450823480.069405,KMeans,0.4,3,Linear,0.5,0.83333333,0.0
103,nyc_taxi.csv,3451271104.4015293,Linear,0.25,4,Linear,0.5,0.83333333,0.0
104,occupancy_t4013.csv,3457699209.8537483,Linear,1.0,5,Linear,0.5,0.83333333,0.0
105,speed_t4013.csv,3457731808.803744,Linear,1.0,6,Linear,0.5,0.83333333,0.0
106,TravelTime_387.csv,3458300507.6735854,KMeans,0.66666667,7,Linear,0.5,0.83333333,0.0
107,,,,,,,,,
