,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
88,ambient_temperature_system_failure.csv,0.0,KMeans,0.8,1,KMeans,0.65517241,0.93722369,0.7000000000000001
89,,,,,,,,,
90,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1,
91,ambient_temperature_system_failure.csv,0.0,KMeans,0.8,1,KMeans,0.65517241,0.93722369,0.8
92,,,,,,,,,
93,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1,
94,ambient_temperature_system_failure.csv,0.0,KMeans,0.8,1,KMeans,0.65517241,0.93722369,0.9
95,,,,,,,,,
96,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1,
97,ambient_temperature_system_failure.csv,0.0,KMeans,0.8,1,KMeans,0.65517241,0.93722369,1.0
98,,,,,,,,,
99,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1,
100,machine_temperature_system_failure.csv,0.0,Linear,0.4,1,Linear,0.14285714,0.34285714,0.0
101,,,,,,,,,
102,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1,
103,machine_temperature_system_failure.csv,0.0,Linear,0.4,1,Linear,0.14285714,0.34285714,0.1
104,,,,,,,,,
105,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1,
106,machine_temperature_system_failure.csv,0.0,Linear,0.4,1,Linear,0.14285714,0.34285714,0.2
107,,,,,,,,,
108,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1,
109,machine_temperature_system_failure.csv,0.0,Linear,0.4,1,Linear,0.14285714,0.34285714,0.30000000000000004
110,,,,,,,,,
111,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1,
112,machine_temperature_system_failure.csv,0.0,Linear,0.4,1,Linear,0.14285714,0.34285714,0.4
113,,,,,,,,,
114,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1,
115,machine_temperature_system_failure.csv,0.0,Linear,0.4,1,Linear,0.14285714,0.34285714,0.5
116,,,,,,,,,
117,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1,
118,machine_temperature_system_failure.csv,0.0,Linear,0.4,1,Linear,0.14285714,0.34285714,0.6000000000000001
119,,,,,,,,,
120,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1,
121,machine_temperature_system_failure.csv,0.0,Linear,0.4,1,Linear,0.14285714,0.34285714,0.7000000000000001
122,,,,,,,,,
123,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1,
124,machine_temperature_system_failure.csv,0.0,Linear,0.4,1,Linear,0.14285714,0.34285714,0.8
125,,,,,,,,,
126,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1,
127,machine_temperature_system_failure.csv,0.0,Linear,0.4,1,Linear,0.14285714,0.34285714,0.9
128,,,,,,,,,
129,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1,
130,machine_temperature_system_failure.csv,0.0,Linear,0.4,1,Linear,0.14285714,0.34285714,1.0
131,,,,,,,,,
132,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1,
133,ec2_request_latency_system_failure.csv,0.0,KMeans,0.66666667,1,KMeans,0.4,1.0,0.0
134,,,,,,,,,
135,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1,
136,ec2_request_latency_system_failure.csv,0.0,KMeans,0.66666667,1,KMeans,0.4,1.0,0.1
137,,,,,,,,,
138,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1,
139,ec2_request_latency_system_failure.csv,0.0,KMeans,0.66666667,1,KMeans,0.4,1.0,0.2
140,,,,,,,,,
141,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1,
142,ec2_request_latency_system_failure.csv,0.0,KMeans,0.66666667,1,KMeans,0.4,1.0,0.30000000000000004
143,,,,,,,,,
144,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1,
145,ec2_request_latency_system_failure.csv,0.0,KMeans,0.66666667,1,KMeans,0.4,1.0,0.4
146,,,,,,,,,
147,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1,
148,ec2_request_latency_system_failure.csv,0.0,KMeans,0.66666667,1,KMeans,0.4,1.0,0.5
149,,,,,,,,,
150,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1,
151,ec2_request_latency_system_failure.csv,0.0,KMeans,0.66666667,1,KMeans,0.4,1.0,0.6000000000000001
152,,,,,,,,,
153,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1,
154,ec2_request_latency_system_failure.csv,0.0,KMeans,0.66666667,1,KMeans,0.4,1.0,0.7000000000000001
155,,,,,,,,,
156,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1,
157,ec2_request_latency_system_failure.csv,0.0,KMeans,0.66666667,1,KMeans,0.4,1.0,0.8
158,,,,,,,,,
159,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1,
160,ec2_request_latency_system_failure.csv,0.0,KMeans,0.66666667,1,KMeans,0.4,1.0,0.9
161,,,,,,,,,
162,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1,
163,ec2_request_latency_system_failure.csv,0.0,KMeans,0.66666667,1,KMeans,0.4,1.0,1.0
164,,,,,,,,,
165,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1,
166,rds_cpu_utilization_e47b3b.csv,0.0,Linear,0.66666667,1,Linear,0.57142857,0.9047619,0.0
167,,,,,,,,,
168,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1,
169,ec2_cpu_utilization_825cc2.csv,0.0,KMeans,0.66666667,1,KMeans,0.66666667,1.0,0.1
