,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
55,TravelTime_387.csv,16.705636977528613,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999,0.4
56,rogue_agent_key_hold.csv,16.70580556953052,Linear,0.003367,8,KMeans,0.38537271,0.4468761299999999,0.4
57,exchange-4_cpm_results.csv,16.70596093332877,KMeans,0.75,9,KMeans,0.38537271,0.4468761299999999,0.4
58,occupancy_t4013.csv,16.706242285906352,Linear,1.0,10,KMeans,0.38537271,0.4468761299999999,0.4
59,,,,,,,,,
60,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
61,Pen-Based Recognition of Handwritten Text (Local),24.312839967104082,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999,0.5
62,Speech Accent Data,24.471092233384415,Linear,0.11764706,2,KMeans,0.38537271,0.4468761299999999,0.5
63,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,24.47478942744249,KMeans,0.5,3,KMeans,0.38537271,0.4468761299999999,0.5
64,exchange-4_cpc_results.csv,24.474796170115447,Linear,0.66666667,4,KMeans,0.38537271,0.4468761299999999,0.5
65,exchange-3_cpc_results.csv,24.47483161906269,Linear,0.57142857,5,Linear,0.92639843,0.98790185,0.5
66,exchange-2_cpm_results.csv,24.474944066936796,KMeans,0.8,6,KMeans,0.38537271,0.4468761299999999,0.5
67,TravelTime_387.csv,24.474966545941825,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999,0.5
68,rogue_agent_key_hold.csv,24.475081620435038,Linear,0.003367,8,KMeans,0.38537271,0.4468761299999999,0.5
69,exchange-4_cpm_results.csv,24.475187666408345,KMeans,0.75,9,KMeans,0.38537271,0.4468761299999999,0.5
70,occupancy_t4013.csv,24.47537970932025,Linear,1.0,10,KMeans,0.38537271,0.4468761299999999,0.5
71,,,,,,,,,
72,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
73,Pen-Based Recognition of Handwritten Text (Local),38.56364967156004,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
74,Speech Accent Data,38.663616538285794,Linear,0.11764706,2,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
75,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,38.66595668339852,KMeans,0.5,3,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
76,exchange-4_cpc_results.csv,38.66596095137812,Linear,0.66666667,4,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
77,exchange-3_cpc_results.csv,38.66598338987735,Linear,0.57142857,5,Linear,0.92639843,0.98790185,0.6000000000000001
78,exchange-2_cpm_results.csv,38.666054567339614,KMeans,0.8,6,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
79,TravelTime_387.csv,38.666068796165085,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
80,rogue_agent_key_hold.csv,38.66614163647256,Linear,0.003367,8,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
81,exchange-4_cpm_results.csv,38.66620876205355,KMeans,0.75,9,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
82,occupancy_t4013.csv,38.66633032290762,Linear,1.0,10,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
83,,,,,,,,,
84,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
85,Pen-Based Recognition of Handwritten Text (Local),65.27665538216465,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999,0.7000000000000001
86,Speech Accent Data,65.33576283866806,Linear,0.11764706,2,KMeans,0.38537271,0.4468761299999999,0.7000000000000001
87,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,65.33714768899483,KMeans,0.5,3,KMeans,0.38537271,0.4468761299999999,0.7000000000000001
88,exchange-4_cpc_results.csv,65.33715021474819,Linear,0.66666667,4,KMeans,0.38537271,0.4468761299999999,0.7000000000000001
89,exchange-3_cpc_results.csv,65.33716349366065,Linear,0.57142857,5,Linear,0.92639843,0.98790185,0.7000000000000001
90,exchange-2_cpm_results.csv,65.33720561590889,KMeans,0.8,6,KMeans,0.38537271,0.4468761299999999,0.7000000000000001
